article_id,creator
b77f88e743469f83bb6e42ef1c71dde8,Laura Chung
36800d377d537be32412658049e8a490,None
506fee849be852fc740ab2217430e98f,Elizabeth Knight
1e315426cbfa2dbfaba305c7474a5c2c,Jon Pierik
c254935b5d0b0114c18043c9fff3aade,Malcolm Conn
6ee6d3f33574c42b3bf53e53053a68c6,Vince Rugari
48acfc1f5c21c0e1c611194dea12a1a4,Michael Gleeson
ab2a1c53634010ae6a2d989272ad118d,Peter Ryan
f61bcd7fb514c048146ad787ec8e2bdf,Jessica Yun
d22db0b248b815f722142a9877f7f896,None
dc6e35d377ff9a2f53a78bac80ff3b4b,None
9323bdb45d991f96ab4d06b754496018,None
445db7641faca476c66d082464df9f8b,Stephen Bartholomeusz
abfb5bbed8fca4807a23ece448bbf4a3,None
99d1502b2ed584e1f2f9699f2072a7ac,None
843c369ebea46ed462dcf643ad7738a1,None
3f66cc54b05e5a960ad5362122b73943,Emma Kemp
fd313008c0b256ebe3aac9e441944ece,Swetha Gopinath
fd313008c0b256ebe3aac9e441944ece,Eyk Henning
fd313008c0b256ebe3aac9e441944ece,Ruth David
167aef11baee524bcbd71db24ff24318,Rob Harris
29a839e9baacd736a8b03f4f6423b82c,None
368bf4236e9c5b256321587bf166a6c3,Andrew Webster
2264a48d1e1eac157116903853e1b967,Malcolm Conn
2264a48d1e1eac157116903853e1b967,Daniel Brettig
e02323c4c948c80bf7bf18af58d11853,None
663b5360514c56b22d00859707ee14eb,None
529c0fd16acec6dd7b6d5716318a7148,Michael Gleeson
32c5b06aa752d3b18b3298c92e7be059,Malcolm Conn
32c5b06aa752d3b18b3298c92e7be059,Daniel Brettig
1118e1e87137af054789b32332180b84,Neil Evans
faa06e858cfec21354cc0ae08586fc6c,Daniel Brettig
4b52110bd62081aa693ba7c2a30986d3,None
9bee97fd6b91ac5b7ffa9eb561466226,Vince Rugari
8e9ab2024e756ce98b8b31485c4866f6,Jessica Yun
5f4406119fe6aa5a71a250472f375227,Jessica Yun
1378fab155340f56ced6740ec708ee50,Emma Kemp
73c03583abc5bdbb6e1c334002b529ac,Daniel Brettig
322ded7880d3e3cd55224501a7d6ada1,Peter Ryan
22c4c126586f392b9b3406aedbb4a938,Marc McGowan
5d65638d929444c7251acca43979c491,Malcolm Conn
4e10a78fb28e5ffb34d25baf5f7abf86,None
f74453e739012d47b2f70f1b29658c3c,Vince Rugari
f74453e739012d47b2f70f1b29658c3c,Emma Kemp
bec80dafb6db4d10427ff5f3626ff79e,Vince Rugari
bec80dafb6db4d10427ff5f3626ff79e,Emma Kemp
1d6ac23fe335f4e21c23974eb792aa8b,Melissa Woods
1d6ac23fe335f4e21c23974eb792aa8b,Adrian Warren
806006df3d1077647e1b416b56638efc,Billie Eder
806006df3d1077647e1b416b56638efc,Marnie Vinall
806006df3d1077647e1b416b56638efc,Roy Ward
009afb1423acf08b3a0316b20942c6bb,None
61d9901fd436af6753b4afd6f3723818,Greg Baum
2ebfe0270dad161da76caf65decc3503,Emma Kemp
ed0d4c88adb042d29cbc734e73692963,Vince Rugari
2e2f5bd9754692ffacda30f687b17941,None
1925bdfbbc704dc96c3e37ceea4eedfc,None
eec9cd6e082b6674e63cc36840be9771,None
49ced7fe9aa4cabe2c39cba83430fdb5,None
c3df8e4ed578601d12eb61988780d547,None
29a7d86f4648d13ebea9157cdf2fc328,None
ce72468cf4f0f9316eb39d0803518b31,None
db3b4bbf224650569b30901f2777becc,None
9c4340084a01feee89409064abaca34c,None
224787a67cefc435734708d8c147078c,None
0d7243897b235e3234fc27132ee48621,None
a3d43b90579c41880ac2d0c89354cb3f,None
0c29b7acc715070a802da2a3b59a1090,Matthew Lynn
24469e20ebee7460ba8ef993ca5faaf0,Millie Muroi
2abe8cc0305276286e92e790692f63bb,Emma Koehn
daae73218ea3269b5b9c9ace8e1191db,Stephen Bartholomeusz
2570ea21ff76a5802405ef32e9e3b06d,None
d54324a2cbc9289c1dbdd41f504642c6,Stan Choe
47bdc3e092e1dad09485b50be5243a4b,Adam Pengilly
d305eafbaf0a81e184c487c900a4c33c,Calum Jaspan
44ebfce71999e5bd8196f43a60f73bf0,Marc McGowan
439bfdd68b9be3ecd686a65737c020b8,Calum Jaspan
b499b9f719e9e6f9f22626e8558183fa,Emma Kemp
271fd7503f439a11ed5b6c551e1c0b55,Calum Jaspan
abdaaa758daff5104e5090de3f474338,Emma Koehn
bfaab673e90e6590e2b803ae0b645325,Daniel Brettig
23504f918c71b17221defb9ececa5d5e,Malcolm Conn
43c434ed42a17868b40d9e518b4495e7,Andrew Wu
2532c92d4a98ef980651c0fd557f711a,Alan Baldwin
e4dd10281c8316018baff56831cdc9e4,Alan Baldwin
e2b1878f6c97c728b7cbbbc1b5ecb54e,Tom Decent
2b8e14875a3496ee7715b66d2d2390f4,Ross Gittins
18bd70a35056693a188fe08920a4e4dd,Ross Gittins
b64c7e69f47213ac1d93a47ed033c90b,Andrew Wu
ef594824eb38423689a59924a5314900,Damien Woolnough
ef594824eb38423689a59924a5314900,Thomas Mitchell
ef594824eb38423689a59924a5314900,Karl Quinn
7125febbf3f34759a31137d2468a1114,Karl Quinn
cb31659b932ae2f9f6bcc93842815f98,Michael Phillis
cb31659b932ae2f9f6bcc93842815f98,Beatrice Dupuy
cb31659b932ae2f9f6bcc93842815f98,Rebecca Blackwell
65e174504583ee5d58bbd4ce592f3f08,Shane Wright
baf35dc31619a168bb0ad92f76854d02,Mike Foley
baf35dc31619a168bb0ad92f76854d02,Nick Toscano
9b59d66af6bf196de9fe19243f65a348,Mike Foley
d466a07b38f5698ce3dacc6ed6455d0a,Dr Thivi Maruthappu
b438d6c436caf7a86ee99ff8284df075,Emma Breheny
c34b6753a406d909f45e151891b0b140,Alec Morris
42d157487fe91328946f47d839447683,None
2c29c5b24206c33ce6e4176b7fb0cef6,None
c76ac965f9f60bebbe6808b2c0882b1f,None
3d0bf76bf8e85b8e5d167c592f9fc10b,None
dce038f008d045a40686f7acf6e8c8dd,None
8678104c09d8d3fadbaa78a342117ecf,None
539181db1f05c1af0592f9add29fbd6e,None
77d66b6ff9ebf60340ac221b1e09c23e,None
cdd185f7f54576029ee75f5e1ae170ec,None
1e1bfa70d8a5001e1577b36ed7e2da1a,None
50f2076e42bb233b2758ce1b9d64b278,None
1235ca5c41e60e229a6b4bd447b1793d,Felicity Caldwell
3c78589835d7904ea54686ed752505b5,Emma Kemp
a7249f8b8018d644b21e770c775aa0ce,Adrian Warren
9378db46702c8c560ad3e2e58907720f,Cameron Atfield
661011df8a44f8fbc3e75327d6471e80,Adam Pengilly
4c1b1ae0ff0a959d8126ead32ea2f139,None
c63deb1c5d14a18d8f31a70154ec3a3f,None
01740049a5dac3832fea0c27d84eb9a2,Michael Gleeson
3965d1ca3b90795b561b82a4335d6236,None
b7e252345cf7e367b561ec084407d99e,Peter Ryan
247c1dd4a09c936d46b29ffff1d7bc45,Sarah Danckert
a29c626811df319088bc4f02436bdab5,Millie Muroi
5f9316f8819e7e18333f2baad37cfd15,Roy Ward
8eaca9f7b19942df574f4908e289eb5d,None
c6454a40c1370f7aaa93dbc973a2e310,None
6052e538c2331857708b52d7c2c5f888,Denitsa Tsekova
8f3adf29c1cfa8e234f93a8501d347fe,None
426efc16d9cb0d298369f2228ad15388,None
f62825acc03e365e6dce174919bff656,None
f077e45c0c829d4e93a0a46b35ccd8cf,Vince Rugari
25b2e7be69f8feb88a449bbb48d296e5,None
1b3b9ba79ddd727934bb46927b047de1,Julie Power
6c45aea9d2ffb9831161943ace0ca2a1,Peter Ryan
15eaea005296dd9593fbe3969c411694,Peter Ryan
7ad79726a9dfb4b1ddd5fe041abf676b,Chip Le Grand
7ad79726a9dfb4b1ddd5fe041abf676b,Patrick Hatch
8713595efa3e1279241b2589d576a826,Matthew Brown
8713595efa3e1279241b2589d576a826,Morgan Lee
10af1816d103b37a60c8c74bba83e5f5,Mick Ryan
6095fbf4c88cab8744aab470bd199b74,Harriet Alexander
6095fbf4c88cab8744aab470bd199b74,Nigel Gladstone
608d59a9f47bf29101c9b1ed71f39396,Shera Avi-Yonah
21dc5b4710f3d5dafb68454ccc81ae04,Justin Chadwick
90b98ab992902805a3aa8ad18a350d19,None
be25974b439cb94c089965d040144b27,None
613c784904dc7863b189e479de0f32b1,None
c5a518dfd0b80a163ea13bbf72202d00,None
270e1366fb2c773ab5120d124a56c15c,Tim Barlass
c295059b6f1e8b866427f99a3139b48f,None
b0758a2e5b637be5757524bff02c1e41,None
7ddae559f943e17de1f94e1fca86bae2,None
79b55c4fd751631c024ce1e95b617895,Felipe Dana
79b55c4fd751631c024ce1e95b617895,Dasha Litvinova
006e6604ca4ee40c1b4277532e01d35d,None
5a469c5e741e7efb3419e0d214b5c647,Jake Niall
5ecfb6005d2542a94bbe28d3435d5053,Jake Niall
f77b8533912e90f05bdf3e3dfbeb8bd8,Ian Chadband
a5bdba9b2c2ab10c4cd84db0a2b593a6,Ian Chadband
